time_fixed,median_log,lower_log,upper_log
2021-02-27,3.71357206670431,3.71357206670431,3.71357206670431
2021-02-18,3.71357206670431,3.71357206670431,3.71357206670431
2021-02-09,3.71357206670431,3.71357206670431,3.71357206670431
2021-01-31,3.71357206670431,3.71357206670431,3.71357206670431
2021-01-23,3.71357206670431,3.71357206670431,3.71357206670431
2021-01-14,3.71357206670431,3.71357206670431,3.71357206670431
2021-01-05,3.71357206670431,3.71357206670431,3.71357206670431
2020-12-28,3.71357206670431,3.71357206670431,3.71357206670431
2020-12-19,3.71357206670431,3.71357206670431,3.71357206670431
2020-12-10,3.71357206670431,3.71357206670431,3.71357206670431
2020-12-02,3.71357206670431,3.71357206670431,3.71357206670431
2020-11-23,3.71357206670431,3.68887945411394,3.71357206670431
2020-11-14,3.68887945411394,3.68887945411394,3.71357206670431
2020-11-06,3.68887945411394,3.68887945411394,3.71357206670431
2020-10-28,3.66356164612965,3.66356164612965,3.71357206670431
2020-10-19,3.63758615972639,3.61091791264422,3.68887945411394
2020-10-11,3.63758615972639,3.61091791264422,3.66356164612965
2020-10-02,3.61091791264422,3.58351893845611,3.63758615972639
2020-09-23,3.61091791264422,3.55534806148941,3.63758615972639
2020-09-14,3.61091791264422,3.52636052461616,3.63758615972639
2020-09-06,3.58351893845611,3.49650756146648,3.63758615972639
2020-08-28,3.55534806148941,3.46573590279973,3.61091791264422
2020-08-19,3.52636052461616,3.43398720448515,3.61091791264422
2020-08-11,3.49650756146648,3.40119738166216,3.58351893845611
2020-08-02,3.46573590279973,3.36729582998647,3.58351893845611
2020-07-24,3.43398720448515,3.3322045101752,3.55534806148941
2020-07-16,3.40119738166216,3.29583686600433,3.55534806148941
2020-07-07,3.40119738166216,3.25809653802148,3.52636052461616
2020-06-28,3.36729582998647,3.2188758248682,3.52636052461616
2020-06-19,3.29583686600433,3.17805383034795,3.49650756146648
2020-06-11,3.29583686600433,3.13549421592915,3.46573590279973
2020-06-02,3.2188758248682,3.09104245335832,3.43398720448515
2020-05-24,3.17805383034795,2.99573227355399,3.36729582998647
2020-05-16,3.13549421592915,2.89037175789616,3.3322045101752
2020-05-07,3.09104245335832,2.63905732961526,3.29583686600433
2020-04-28,3.04452243772342,2.484906649788,3.25809653802148
2020-04-20,2.94443897916644,2.19722457733622,3.17805383034795
2020-04-11,2.56494935746154,2.07944154167984,3.13549421592915
2020-04-02,2.30258509299405,1.94591014905531,3.04452243772342
2020-03-25,2.07944154167984,1.79175946922805,2.89037175789616
2020-03-16,1.94591014905531,1.6094379124341,2.56494935746154
2020-03-07,1.94591014905531,1.38629436111989,2.39789527279837
2020-02-27,1.79175946922805,1.09861228866811,2.19722457733622
2020-02-19,1.38629436111989,0.693147180559945,2.07944154167984
2020-02-10,1.09861228866811,0.693147180559945,1.94591014905531
2020-02-01,0.693147180559945,0.693147180559945,1.79175946922805
2020-01-24,0.693147180559945,0.693147180559945,1.79175946922805
2020-01-15,0.693147180559945,0.693147180559945,1.6094379124341
2020-01-06,0.693147180559945,0.693147180559945,1.6094379124341
