date,positive,estimated_cases,estimated_cases_lb,estimated_cases_ub
2020-04-01,163,5117.39481648751,1068.17515569189,13168.72626476
2020-04-16,4204,57279.4881020317,18366.0131770164,138379.362567494
2020-05-01,14917,97919.9391552659,38102.2198617615,223101.384398232
2020-05-16,28681,118210.475892365,54762.1830391617,251754.59452916
